Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1123,24,06/04/2024 00:00,Smoothie King Center,New Orleans Pelicans,San Antonio Spurs,
1097,24,06/04/2024 00:30,American Airlines Center,Dallas Mavericks,Golden State Warriors,
1125,24,06/04/2024 02:00,Footprint Center,Phoenix Suns,Minnesota Timberwolves,
1126,24,06/04/2024 02:30,Crypto.com Arena,LA Clippers,Utah Jazz,
1127,24,06/04/2024 19:30,Crypto.com Arena,Los Angeles Lakers,Cleveland Cavaliers,
1128,24,06/04/2024 23:00,Barclays Center,Brooklyn Nets,Detroit Pistons,
1129,24,07/04/2024 00:00,FedExForum,Memphis Grizzlies,Philadelphia 76ers,
1130,24,07/04/2024 01:00,Ball Arena,Denver Nuggets,Atlanta Hawks,
1131,24,07/04/2024 19:30,American Airlines Center,Dallas Mavericks,Houston Rockets,
1132,24,07/04/2024 19:30,Crypto.com Arena,LA Clippers,Cleveland Cavaliers,
1133,24,07/04/2024 21:00,Gainbridge Fieldhouse,Indiana Pacers,Miami Heat,
1134,24,07/04/2024 22:00,TD Garden,Boston Celtics,Portland Trail Blazers,
1135,24,07/04/2024 22:00,Spectrum Center,Charlotte Hornets,Oklahoma City Thunder,
1136,24,07/04/2024 22:00,Kia Center,Orlando Magic,Chicago Bulls,
1137,24,07/04/2024 22:00,Scotiabank Arena,Toronto Raptors,Washington Wizards,
1138,24,07/04/2024 22:00,Footprint Center,Phoenix Suns,New Orleans Pelicans,
1139,24,07/04/2024 23:00,Fiserv Forum,Milwaukee Bucks,New York Knicks,
1140,24,07/04/2024 23:00,Frost Bank Center,San Antonio Spurs,Philadelphia 76ers,
1141,24,07/04/2024 23:30,Barclays Center,Brooklyn Nets,Sacramento Kings,
1142,24,08/04/2024 00:30,Chase Center,Golden State Warriors,Utah Jazz,
1143,24,08/04/2024 02:00,Crypto.com Arena,Los Angeles Lakers,Minnesota Timberwolves,
1144,25,09/04/2024 23:00,Spectrum Center,Charlotte Hornets,Dallas Mavericks,
1145,25,09/04/2024 23:00,Wells Fargo Center,Philadelphia 76ers,Detroit Pistons,
1146,25,09/04/2024 23:00,Scotiabank Arena,Toronto Raptors,Indiana Pacers,
1147,25,09/04/2024 23:30,State Farm Arena,Atlanta Hawks,Miami Heat,
1148,25,09/04/2024 23:30,Fiserv Forum,Milwaukee Bucks,Boston Celtics,
1149,25,10/04/2024 00:00,United Center,Chicago Bulls,New York Knicks,
1150,25,10/04/2024 00:00,Toyota Center,Houston Rockets,Orlando Magic,
1151,25,10/04/2024 00:00,FedExForum,Memphis Grizzlies,San Antonio Spurs,
1152,25,10/04/2024 00:00,Target Center,Minnesota Timberwolves,Washington Wizards,
1153,25,10/04/2024 00:00,Paycom Center,Oklahoma City Thunder,Sacramento Kings,
1154,25,10/04/2024 01:00,Delta Center,Utah Jazz,Denver Nuggets,
1155,25,10/04/2024 02:00,Crypto.com Arena,Los Angeles Lakers,Golden State Warriors,
1156,25,10/04/2024 02:00,Footprint Center,Phoenix Suns,LA Clippers,
1157,25,10/04/2024 02:00,Moda Center,Portland Trail Blazers,New Orleans Pelicans,
1158,25,10/04/2024 23:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Memphis Grizzlies,
1159,25,10/04/2024 23:30,State Farm Arena,Atlanta Hawks,Charlotte Hornets,
1160,25,10/04/2024 23:30,Barclays Center,Brooklyn Nets,Toronto Raptors,
1161,25,10/04/2024 23:30,Kaseya Center,Miami Heat,Dallas Mavericks,
1162,25,11/04/2024 00:00,Fiserv Forum,Milwaukee Bucks,Orlando Magic,
1163,25,11/04/2024 00:00,Paycom Center,Oklahoma City Thunder,San Antonio Spurs,
1164,25,11/04/2024 02:00,Ball Arena,Denver Nuggets,Minnesota Timberwolves,
1165,25,11/04/2024 02:30,Crypto.com Arena,LA Clippers,Phoenix Suns,
1166,25,11/04/2024 23:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,
1167,25,11/04/2024 23:30,TD Garden,Boston Celtics,New York Knicks,
1168,25,12/04/2024 01:00,Delta Center,Utah Jazz,Houston Rockets,
1169,25,12/04/2024 02:00,Moda Center,Portland Trail Blazers,Golden State Warriors,
1170,25,12/04/2024 02:00,Golden 1 Center,Sacramento Kings,New Orleans Pelicans,
1171,25,12/04/2024 23:00,Wells Fargo Center,Philadelphia 76ers,Orlando Magic,
1172,25,12/04/2024 23:00,Capital One Arena,Washington Wizards,Chicago Bulls,
1173,25,12/04/2024 23:30,TD Garden,Boston Celtics,Charlotte Hornets,
1174,25,12/04/2024 23:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Indiana Pacers,
1175,25,12/04/2024 23:30,Madison Square Garden,New York Knicks,Brooklyn Nets,
1176,25,13/04/2024 00:00,Kaseya Center,Miami Heat,Toronto Raptors,
1177,25,13/04/2024 00:00,FedExForum,Memphis Grizzlies,Los Angeles Lakers,
1178,25,13/04/2024 00:00,Target Center,Minnesota Timberwolves,Atlanta Hawks,
1179,25,13/04/2024 00:00,Paycom Center,Oklahoma City Thunder,Milwaukee Bucks,
1180,25,13/04/2024 00:00,Frost Bank Center,San Antonio Spurs,Denver Nuggets,
1181,25,13/04/2024 00:30,American Airlines Center,Dallas Mavericks,Detroit Pistons,
1182,25,13/04/2024 02:00,Chase Center,Golden State Warriors,New Orleans Pelicans,
1183,25,13/04/2024 02:00,Moda Center,Portland Trail Blazers,Houston Rockets,
1184,25,13/04/2024 02:30,Crypto.com Arena,LA Clippers,Utah Jazz,
1185,25,13/04/2024 02:30,Golden 1 Center,Sacramento Kings,Phoenix Suns,
1186,25,14/04/2024 17:00,TD Garden,Boston Celtics,Washington Wizards,
1187,25,14/04/2024 17:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Charlotte Hornets,
1188,25,14/04/2024 17:00,Gainbridge Fieldhouse,Indiana Pacers,Atlanta Hawks,
1189,25,14/04/2024 17:00,Kaseya Center,Miami Heat,Toronto Raptors,
1190,25,14/04/2024 17:00,Madison Square Garden,New York Knicks,Chicago Bulls,
